entry_no,posting_date,fiscal_year,document_type,document_no,line_no,customer_no,salesperson_code,item_no,item_description,item_category_code,location_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct
1428,2024-11-12,F 2025,Sales Invoice,SI103713,20000,C0004,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,5,20514.6,102573.0,71984.55,30588.45,29.82
1429,2024-10-03,F 2025,Sales Invoice,SI103714,10000,C0004,CM,1920-S,LUANDA Conference Table,TABLE,,1,270542.58,270542.58,143907.17,126635.41,46.81
1430,2024-10-03,F 2025,Sales Invoice,SI103714,20000,C0004,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,8,23722.39,189779.12,114180.96,75598.16,39.83
1431,2024-10-03,F 2025,Sales Invoice,SI103715,10000,C0020,CM,1900-S,CAIRO Writing Desk,BENCH,NAK,6,106107.09,636642.54,452241.72,184400.82,28.96
1432,2024-10-03,F 2025,Sales Invoice,SI103715,20000,C0020,CM,1936-S,ACCRA Round Table,TABLE,,2,102141.0,204282.0,120775.72,83506.28,40.88
1433,2024-10-03,F 2025,Sales Invoice,SI103715,30000,C0020,CM,1900-S,CAIRO Writing Desk,BENCH,,3,105540.52,316621.56,210888.36,105733.2,33.39
1434,2024-10-03,F 2025,Sales Invoice,SI103715,40000,C0020,CM,1964-S,Guest Section 1,MISC,,1,127299.13,127299.13,103770.08,23529.05,18.48
1435,2024-10-03,F 2025,Sales Invoice,SI103715,50000,C0020,CM,1964-S,Guest Section 1,MISC,,2,142269.09,284538.18,195962.4,88575.78,31.13
1436,2025-03-24,F 2025,Sales Invoice,SI103716,10000,C0021,BM,1984-S,MADRID Monitor Stand,MISC,,9,13376.59,120389.31,79022.34,41366.97,34.36
1437,2025-04-15,F 2025,Sales Invoice,SI103717,10000,C0021,AO,2008-S,"ACCRA Stacking Chair, blue",CHAIR,KSM,7,14706.29,102944.03,61283.67,41660.36,40.47
1438,2025-04-15,F 2025,Sales Invoice,SI103717,20000,C0021,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,10,24018.97,240189.7,169795.0,70394.7,29.31
1439,2025-02-05,F 2025,Sales Invoice,SI103718,10000,C0001,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,2,35853.02,71706.04,52754.04,18952.0,26.43
1440,2025-02-05,F 2025,Sales Invoice,SI103718,20000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,2,40123.7,80247.4,53526.64,26720.76,33.3
1441,2025-02-05,F 2025,Sales Invoice,SI103718,30000,C0001,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,8,26825.51,214604.08,153044.88,61559.2,28.69
1442,2025-01-22,F 2025,Sales Invoice,SI103719,10000,C0002,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,1,145719.71,145719.71,119353.21,26366.5,18.09
1443,2025-03-08,F 2025,Sales Invoice,SI103720,10000,C0002,CM,1956-S,Conference Bundle 1-6,MISC,,6,389635.01,2337810.06,1314270.96,1023539.1,43.78
1444,2025-03-08,F 2025,Sales Invoice,SI103720,20000,C0002,CM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,11,46499.61,511495.71,304636.75,206858.96,40.44
1445,2025-04-21,F 2025,Sales Invoice,SI103721,10000,C0023,AO,1964-S,Guest Section 1,MISC,NBI,5,153325.05,766625.25,531955.05,234670.2,30.61
1446,2024-11-27,F 2025,Sales Invoice,SI103722,10000,C0005,AO,1900-S,CAIRO Writing Desk,BENCH,,11,131198.3,1443181.3,765715.28,677466.02,46.94
1447,2024-11-16,F 2025,Sales Invoice,SI103723,10000,C0030,BM,1952-S,"ABUJA Whiteboard, base",MISC,,4,56538.56,226154.24,137819.12,88335.12,39.06
1448,2024-11-16,F 2025,Sales Invoice,SI103723,20000,C0030,BM,1920-S,LUANDA Conference Table,TABLE,,4,265291.66,1061166.64,712892.2,348274.44,32.82
1449,2024-11-16,F 2025,Sales Invoice,SI103723,30000,C0030,BM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,3,19540.12,58620.36,51032.52,7587.84,12.94
1450,2024-11-16,F 2025,Sales Invoice,SI103723,40000,C0030,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,NBI,10,145740.12,1457401.2,1180645.7,276755.5,18.99
1451,2024-11-16,F 2025,Sales Invoice,SI103723,50000,C0030,BM,1952-S,"ABUJA Whiteboard, base",MISC,,8,58996.36,471970.88,281824.72,190146.16,40.29
1452,2025-04-13,F 2025,Sales Invoice,SI103724,10000,C0003,BM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,NBI,2,30427.47,60854.94,40065.56,20789.38,34.16
1453,2025-04-13,F 2025,Sales Invoice,SI103724,20000,C0003,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,,7,169817.15,1188720.05,915895.4,272824.65,22.95
1454,2025-04-13,F 2025,Sales Invoice,SI103724,30000,C0003,BM,1956-S,Conference Bundle 1-6,MISC,NAK,2,392849.38,785698.76,513240.88,272457.88,34.68
1455,2024-12-16,F 2025,Sales Invoice,SI103725,10000,C0003,AO,1900-S,CAIRO Writing Desk,BENCH,,12,128980.7,1547768.4,819375.12,728393.28,47.06
1456,2024-12-16,F 2025,Sales Invoice,SI103725,20000,C0003,AO,1968-S,OSLO Filing Cabinet,MISC,NBI,10,38922.66,389226.6,271316.5,117910.1,30.29
1457,2025-03-02,F 2025,Sales Invoice,SI103726,10000,C0017,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,KSM,11,30561.71,336178.81,223332.12,112846.69,33.57
1458,2025-03-02,F 2025,Sales Invoice,SI103726,20000,C0017,AO,1944-S,HARARE Folding Table,TABLE,MBA,6,39677.09,238062.54,197730.48,40332.06,16.94
1459,2025-02-05,F 2025,Sales Invoice,SI103727,10000,C0002,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,MBA,9,213355.16,1920196.44,1149850.8,770345.64,40.12
1460,2025-02-05,F 2025,Sales Invoice,SI103727,20000,C0002,CM,1964-S,Guest Section 1,MISC,,11,132326.26,1455588.86,1042601.45,412987.41,28.37
1461,2025-02-05,F 2025,Sales Invoice,SI103727,30000,C0002,CM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,4,21818.67,87274.68,62887.76,24386.92,27.94
1462,2025-02-05,F 2025,Sales Invoice,SI103727,40000,C0002,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,KSM,6,172452.7,1034716.2,772875.0,261841.2,25.31
1463,2025-02-05,F 2025,Sales Invoice,SI103727,50000,C0002,CM,1984-S,MADRID Monitor Stand,MISC,MBA,6,10202.71,61216.26,54134.52,7081.74,11.57
1464,2025-02-06,F 2025,Sales Invoice,SI103728,10000,C0002,CM,PART-2,Desk Leg Leveller Kit,PARTS,,7,623.21,4362.47,1786.19,2576.28,59.06
1465,2025-02-06,F 2025,Sales Invoice,SI103728,20000,C0002,CM,1908-S,DUBAI Corner Desk,BENCH,,6,141256.62,847539.72,584369.4,263170.32,31.05
1466,2024-11-15,F 2025,Sales Invoice,SI103729,10000,C0002,BM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,11,44580.24,490382.64,289692.59,200690.05,40.93
1467,2024-11-15,F 2025,Sales Invoice,SI103729,20000,C0002,BM,1920-S,LUANDA Conference Table,TABLE,,2,203163.81,406327.62,330734.72,75592.9,18.6
1468,2025-03-16,F 2025,Sales Invoice,SI103730,10000,C0031,AO,1952-S,"ABUJA Whiteboard, base",MISC,,10,61092.25,610922.5,389034.5,221888.0,36.32
1469,2025-02-26,F 2025,Sales Invoice,SI103731,10000,C0015,CM,1988-S,"KAMPALA Guest Chair, red",CHAIR,NBI,8,28007.6,224060.8,146033.76,78027.04,34.82
1470,2025-02-26,F 2025,Sales Invoice,SI103731,20000,C0015,CM,1976-S,LONDON Bookcase,MISC,,6,57765.73,346594.38,197811.0,148783.38,42.93
1471,2025-02-26,F 2025,Sales Invoice,SI103731,30000,C0015,CM,1956-S,Conference Bundle 1-6,MISC,MBA,12,408613.8,4903365.6,2866332.24,2037033.36,41.54
1472,2025-02-26,F 2025,Sales Invoice,SI103731,40000,C0015,CM,1952-S,"ABUJA Whiteboard, base",MISC,,9,46817.05,421353.45,312871.14,108482.31,25.75
1473,2025-05-03,F 2025,Sales Invoice,SI103732,10000,C0030,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,NBI,7,20138.15,140967.05,97653.99,43313.06,30.73
1474,2025-05-03,F 2025,Sales Invoice,SI103732,20000,C0030,CM,1956-S,Conference Bundle 1-6,MISC,,9,409400.24,3684602.16,2359443.06,1325159.1,35.96
1475,2025-05-03,F 2025,Sales Invoice,SI103732,30000,C0030,CM,1984-S,MADRID Monitor Stand,MISC,,7,14004.22,98029.54,59455.13,38574.41,39.35
1476,2025-03-14,F 2025,Sales Invoice,SI103733,10000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,169700.05,1866700.55,1566397.58,300302.97,16.09
1477,2025-03-14,F 2025,Sales Invoice,SI103733,20000,C0001,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,NBI,3,38300.06,114900.18,79410.45,35489.73,30.89
1478,2025-03-14,F 2025,Sales Invoice,SI103733,30000,C0001,AO,1900-S,CAIRO Writing Desk,BENCH,KSM,11,124287.22,1367159.42,790739.62,576419.8,42.16
1479,2025-03-14,F 2025,Sales Invoice,SI103733,40000,C0001,AO,1968-S,OSLO Filing Cabinet,MISC,,9,37596.73,338370.57,203319.63,135050.94,39.91
1480,2025-03-14,F 2025,Sales Invoice,SI103733,50000,C0001,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,1,21403.16,21403.16,15887.64,5515.52,25.77
1481,2025-03-31,F 2025,Sales Invoice,SI103734,10000,C0034,BM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,12,20070.56,240846.72,192417.36,48429.36,20.11
1482,2025-03-31,F 2025,Sales Invoice,SI103734,20000,C0034,BM,2008-S,"ACCRA Stacking Chair, blue",CHAIR,,4,14538.75,58155.0,36332.16,21822.84,37.53
1483,2025-05-04,F 2025,Sales Invoice,SI103735,10000,C0021,AO,1952-S,"ABUJA Whiteboard, base",MISC,,11,51899.11,570890.21,449129.12,121761.09,21.33
1484,2025-05-04,F 2025,Sales Invoice,SI103735,20000,C0021,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,10,26291.49,262914.9,134941.3,127973.6,48.67
1485,2025-05-04,F 2025,Sales Invoice,SI103735,30000,C0021,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,3,28317.28,84951.84,61108.23,23843.61,28.07
1486,2025-05-04,F 2025,Sales Invoice,SI103735,40000,C0021,AO,1900-S,CAIRO Writing Desk,BENCH,,6,130959.97,785759.82,431052.84,354706.98,45.14
1487,2025-04-22,F 2025,Sales Invoice,SI103736,10000,C0001,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,11,27989.05,307879.55,224827.79,83051.76,26.98
1488,2025-04-22,F 2025,Sales Invoice,SI103736,20000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,3,167629.1,502887.3,406610.85,96276.45,19.14
1489,2025-04-22,F 2025,Sales Invoice,SI103736,30000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,10,146709.11,1467091.1,1216190.5,250900.6,17.1
1490,2025-04-22,F 2025,Sales Invoice,SI103736,40000,C0001,AO,2008-S,"ACCRA Stacking Chair, blue",CHAIR,,10,11317.54,113175.4,89583.1,23592.3,20.85
1491,2025-04-22,F 2025,Sales Invoice,SI103736,50000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,2,34731.54,69463.08,57758.34,11704.74,16.85
1492,2025-02-09,F 2025,Sales Invoice,SI103737,10000,C0002,CM,1968-S,OSLO Filing Cabinet,MISC,KSM,1,38192.54,38192.54,26773.52,11419.02,29.9
1493,2025-02-09,F 2025,Sales Invoice,SI103737,20000,C0002,CM,1976-S,LONDON Bookcase,MISC,,5,49370.7,246853.5,160420.65,86432.85,35.01
1494,2025-03-31,F 2025,Sales Invoice,SI103738,10000,C0003,BM,1900-S,CAIRO Writing Desk,BENCH,,9,104423.03,939807.27,621115.65,318691.62,33.91
1495,2025-03-31,F 2025,Sales Invoice,SI103738,20000,C0003,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,12,23180.49,278165.88,182635.2,95530.68,34.34
1496,2025-03-31,F 2025,Sales Invoice,SI103738,30000,C0003,BM,1952-S,"ABUJA Whiteboard, base",MISC,KSM,5,45072.41,225362.05,177504.05,47858.0,21.24
1497,2025-01-19,F 2025,Sales Invoice,SI103739,10000,C0005,CM,1956-S,Conference Bundle 1-6,MISC,,10,384297.01,3842970.1,2725831.9,1117138.2,29.07
1498,2025-01-19,F 2025,Sales Invoice,SI103739,20000,C0005,CM,2008-S,"ACCRA Stacking Chair, blue",CHAIR,MBA,11,14273.78,157011.58,90050.29,66961.29,42.65
1499,2025-01-19,F 2025,Sales Invoice,SI103739,30000,C0005,CM,1984-S,MADRID Monitor Stand,MISC,NBI,5,11699.7,58498.5,41452.9,17045.6,29.14
1500,2025-03-15,F 2025,Sales Invoice,SI103740,10000,C0008,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,6,23853.73,143122.38,110453.58,32668.8,22.83
1501,2025-03-15,F 2025,Sales Invoice,SI103740,20000,C0008,CM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,6,28151.39,168908.34,104452.26,64456.08,38.16
1502,2024-12-21,F 2025,Sales Invoice,SI103741,10000,C0018,BM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,6,170128.54,1020771.24,601050.54,419720.7,41.12
1503,2025-03-04,F 2025,Sales Invoice,SI103742,10000,C0002,AO,1936-S,ACCRA Round Table,TABLE,,11,86558.09,952138.99,804114.85,148024.14,15.55
1504,2025-03-04,F 2025,Sales Invoice,SI103742,20000,C0002,AO,1952-S,"ABUJA Whiteboard, base",MISC,,6,50207.95,301247.7,209471.76,91775.94,30.47
1505,2025-02-04,F 2025,Sales Invoice,SI103743,10000,C0035,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,3,31429.31,94287.93,49828.35,44459.58,47.15
1506,2025-02-04,F 2025,Sales Invoice,SI103743,20000,C0035,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,NAK,1,20388.03,20388.03,14745.67,5642.36,27.67
1507,2025-01-27,F 2025,Sales Invoice,SI103744,10000,C0025,AO,1968-S,OSLO Filing Cabinet,MISC,,9,39295.98,353663.82,222989.67,130674.15,36.95
1508,2025-01-27,F 2025,Sales Invoice,SI103744,20000,C0025,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,KSM,7,30952.29,216666.03,116853.66,99812.37,46.07
1509,2025-01-11,F 2025,Sales Invoice,SI103745,10000,C0020,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,NBI,5,23535.68,117678.4,78072.9,39605.5,33.66
1510,2025-01-11,F 2025,Sales Invoice,SI103745,20000,C0020,AO,1984-S,MADRID Monitor Stand,MISC,,2,12111.64,24223.28,14553.98,9669.3,39.92
1511,2024-11-27,F 2025,Sales Invoice,SI103746,10000,C0001,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,12,41215.71,494588.52,264844.56,229743.96,46.45
1512,2025-04-04,F 2025,Sales Invoice,SI103747,10000,C0004,CM,PART-1,Chair Replacement Wheel Set,PARTS,NBI,12,972.08,11664.96,3854.4,7810.56,66.96
1513,2025-04-04,F 2025,Sales Invoice,SI103747,20000,C0004,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,5,23852.21,119261.05,85963.2,33297.85,27.92
1514,2025-04-04,F 2025,Sales Invoice,SI103747,30000,C0004,CM,1956-S,Conference Bundle 1-6,MISC,,5,321268.57,1606342.85,1282975.85,323367.0,20.13
1515,2025-04-04,F 2025,Sales Invoice,SI103747,40000,C0004,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,MBA,6,29383.36,176300.16,117126.48,59173.68,33.56
1516,2025-04-04,F 2025,Sales Invoice,SI103747,50000,C0004,CM,1984-S,MADRID Monitor Stand,MISC,,7,11250.45,78753.15,54390.28,24362.87,30.94
1517,2024-12-01,F 2025,Sales Invoice,SI103748,10000,C0014,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,KSM,12,32957.88,395494.56,256870.8,138623.76,35.05
1518,2024-12-01,F 2025,Sales Invoice,SI103748,20000,C0014,BM,1936-S,ACCRA Round Table,TABLE,KSM,6,102829.72,616978.32,438033.84,178944.48,29.0
1519,2024-12-01,F 2025,Sales Invoice,SI103748,30000,C0014,BM,1944-S,HARARE Folding Table,TABLE,,4,39179.78,156719.12,114058.68,42660.44,27.22
1520,2024-12-01,F 2025,Sales Invoice,SI103748,40000,C0014,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,11,24579.53,270374.83,175687.82,94687.01,35.02
1521,2024-12-01,F 2025,Sales Invoice,SI103748,50000,C0014,BM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,4,28848.6,115394.4,75779.84,39614.56,34.33
1522,2024-12-01,F 2025,Sales Invoice,SI103748,60000,C0014,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,NBI,5,32514.19,162570.95,106341.2,56229.75,34.59
1523,2024-10-28,F 2025,Sales Invoice,SI103749,10000,C0002,CM,CM-001,Commercial Reception Desk,CM_COMMER,,10,373426.34,3734263.4,2660097.3,1074166.1,28.77
1524,2024-10-28,F 2025,Sales Invoice,SI103749,20000,C0002,CM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,3,34643.04,103929.12,89306.64,14622.48,14.07
1525,2024-10-27,F 2025,Sales Invoice,SI103750,10000,C0027,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,KSM,8,23603.56,188828.48,131092.72,57735.76,30.58
1526,2024-10-27,F 2025,Sales Invoice,SI103750,20000,C0027,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,5,189132.16,945660.8,664735.75,280925.05,29.71
1527,2024-10-27,F 2025,Sales Invoice,SI103750,30000,C0027,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,7,21825.86,152781.02,118845.44,33935.58,22.21
1528,2024-12-09,F 2025,Sales Invoice,SI103751,10000,C0001,AO,1976-S,LONDON Bookcase,MISC,,4,45095.03,180380.12,148582.48,31797.64,17.63
1529,2024-12-09,F 2025,Sales Invoice,SI103751,20000,C0001,AO,1908-S,DUBAI Corner Desk,BENCH,,8,126347.33,1010778.64,698786.16,311992.48,30.87
1530,2024-12-03,F 2025,Sales Invoice,SI103752,10000,C0002,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,5,21079.97,105399.85,75362.65,30037.2,28.5
1531,2025-03-08,F 2025,Sales Invoice,SI103753,10000,C0005,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,NBI,12,22931.57,275178.84,190402.08,84776.76,30.81
1532,2025-03-08,F 2025,Sales Invoice,SI103753,20000,C0005,BM,2008-S,"ACCRA Stacking Chair, blue",CHAIR,,5,10879.26,54396.3,43482.0,10914.3,20.06
1533,2024-11-17,F 2025,Sales Invoice,SI103754,10000,C0015,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,12,37994.39,455932.68,259364.04,196568.64,43.11
1534,2024-11-17,F 2025,Sales Invoice,SI103754,20000,C0015,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,8,28421.81,227374.48,161591.68,65782.8,28.93
1535,2024-12-25,F 2025,Sales Invoice,SI103755,10000,C0034,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,1,34524.82,34524.82,20430.69,14094.13,40.82
1536,2024-12-25,F 2025,Sales Invoice,SI103755,20000,C0034,AO,1900-S,CAIRO Writing Desk,BENCH,,4,115661.13,462644.52,333191.72,129452.8,27.98
1537,2024-12-25,F 2025,Sales Invoice,SI103755,30000,C0034,AO,1928-S,DAKAR Meeting Table,TABLE,,5,160170.54,800852.7,475528.75,325323.95,40.62
1538,2024-12-25,F 2025,Sales Invoice,SI103755,40000,C0034,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,2,30288.23,60576.46,43522.18,17054.28,28.15
1539,2025-02-03,F 2025,Sales Invoice,SI103756,10000,C0035,BM,1900-S,CAIRO Writing Desk,BENCH,,6,112749.51,676497.06,504317.76,172179.3,25.45
1540,2024-12-25,F 2025,Sales Invoice,SI103757,10000,C0021,CM,1968-S,OSLO Filing Cabinet,MISC,,10,36258.0,362580.0,220242.6,142337.4,39.26
1541,2024-12-25,F 2025,Sales Invoice,SI103757,20000,C0021,CM,1920-S,LUANDA Conference Table,TABLE,KSM,3,272056.2,816168.6,510996.63,305171.97,37.39
1542,2024-12-25,F 2025,Sales Invoice,SI103757,30000,C0021,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,KSM,8,29962.96,239703.68,175377.44,64326.24,26.84
1543,2024-12-25,F 2025,Sales Invoice,SI103757,40000,C0021,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,MBA,4,208345.79,833383.16,533815.48,299567.68,35.95
1544,2025-03-13,F 2025,Sales Invoice,SI103758,10000,C0002,AO,1908-S,DUBAI Corner Desk,BENCH,,8,137109.72,1096877.76,643478.32,453399.44,41.34
1545,2025-03-13,F 2025,Sales Invoice,SI103758,20000,C0002,AO,1968-S,OSLO Filing Cabinet,MISC,,6,39595.4,237572.4,135459.18,102113.22,42.98
1546,2025-03-13,F 2025,Sales Invoice,SI103758,30000,C0002,AO,PART-2,Desk Leg Leveller Kit,PARTS,KSM,5,798.89,3994.45,1558.65,2435.8,60.98
1547,2025-05-02,F 2025,Sales Invoice,SI103759,10000,C0006,BM,1984-S,MADRID Monitor Stand,MISC,,6,13401.5,80409.0,44785.98,35623.02,44.3
1548,2025-05-02,F 2025,Sales Invoice,SI103759,20000,C0006,BM,1936-S,ACCRA Round Table,TABLE,,8,97981.66,783853.28,603281.04,180572.24,23.04
1549,2025-02-20,F 2025,Sales Invoice,SI103760,10000,C0003,BM,1952-S,"ABUJA Whiteboard, base",MISC,NBI,1,52665.03,52665.03,40856.08,11808.95,22.42
1550,2024-11-01,F 2025,Sales Invoice,SI103761,10000,C0003,AO,1928-S,DAKAR Meeting Table,TABLE,NBI,1,151148.8,151148.8,104778.04,46370.76,30.68
1551,2024-11-01,F 2025,Sales Invoice,SI103761,20000,C0003,AO,1952-S,"ABUJA Whiteboard, base",MISC,,9,49560.43,446043.87,360887.85,85156.02,19.09
1552,2024-10-23,F 2025,Sales Invoice,SI103762,10000,C0002,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,MBA,2,215363.67,430727.34,229397.22,201330.12,46.74
1553,2024-10-23,F 2025,Sales Invoice,SI103762,20000,C0002,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,NAK,11,24256.2,266818.2,180247.54,86570.66,32.45
1554,2024-10-23,F 2025,Sales Invoice,SI103762,30000,C0002,BM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,5,25855.79,129278.95,87531.65,41747.3,32.29
1555,2025-01-20,F 2025,Sales Invoice,SI103763,10000,C0004,BM,1928-S,DAKAR Meeting Table,TABLE,,4,143170.44,572681.76,422777.16,149904.6,26.18
1556,2025-01-20,F 2025,Sales Invoice,SI103763,20000,C0004,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,5,39389.44,196947.2,123544.05,73403.15,37.27
1557,2025-01-05,F 2025,Sales Invoice,SI103764,10000,C0025,CM,1908-S,DUBAI Corner Desk,BENCH,KSM,12,132917.91,1595014.92,1041506.04,553508.88,34.7
1558,2025-01-28,F 2025,Sales Invoice,SI103765,10000,C0005,AO,1900-S,CAIRO Writing Desk,BENCH,,9,110517.79,994660.11,634488.57,360171.54,36.21
1559,2025-01-28,F 2025,Sales Invoice,SI103765,20000,C0005,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,5,30798.54,153992.7,106201.05,47791.65,31.04
1560,2025-01-28,F 2025,Sales Invoice,SI103765,30000,C0005,AO,1920-S,LUANDA Conference Table,TABLE,NBI,10,274940.03,2749400.3,1785212.1,964188.2,35.07
1561,2025-01-28,F 2025,Sales Invoice,SI103765,40000,C0005,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,NBI,11,27963.51,307598.61,184012.4,123586.21,40.18
1562,2025-01-28,F 2025,Sales Invoice,SI103765,50000,C0005,AO,1900-S,CAIRO Writing Desk,BENCH,NAK,1,105773.99,105773.99,77658.51,28115.48,26.58
1563,2024-10-28,F 2025,Sales Invoice,SI103766,10000,C0001,AO,1900-S,CAIRO Writing Desk,BENCH,,6,107909.4,647456.4,452119.5,195336.9,30.17
1564,2025-02-08,F 2025,Sales Invoice,SI103767,10000,C0001,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,MBA,12,28803.93,345647.16,239169.72,106477.44,30.81
1565,2025-03-13,F 2025,Sales Invoice,SI103768,10000,C0003,CM,PART-1,Chair Replacement Wheel Set,PARTS,,1,893.31,893.31,311.15,582.16,65.17
1566,2025-03-13,F 2025,Sales Invoice,SI103768,20000,C0003,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,3,21169.95,63509.85,41702.31,21807.54,34.34
1567,2024-11-22,F 2025,Sales Invoice,SI103769,10000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,2,196510.12,393020.24,267898.54,125121.7,31.84
1568,2024-11-22,F 2025,Sales Invoice,SI103769,20000,C0001,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,9,21397.4,192576.6,165336.84,27239.76,14.14
1569,2025-03-18,F 2025,Sales Invoice,SI103770,10000,C0006,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,KSM,12,28302.09,339625.08,224884.56,114740.52,33.78
1570,2025-03-18,F 2025,Sales Invoice,SI103770,20000,C0006,BM,1908-S,DUBAI Corner Desk,BENCH,,8,142492.67,1139941.36,779508.32,360433.04,31.62
1571,2025-03-18,F 2025,Sales Invoice,SI103770,30000,C0006,BM,1920-S,LUANDA Conference Table,TABLE,KSM,6,271606.82,1629640.92,860079.9,769561.02,47.22
1572,2024-10-28,F 2025,Sales Invoice,SI103771,10000,C0023,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,2,44229.63,88459.26,52400.32,36058.94,40.76
1573,2025-03-15,F 2025,Sales Invoice,SI103772,10000,C0014,BM,1968-S,OSLO Filing Cabinet,MISC,KSM,6,33930.52,203583.12,146704.32,56878.8,27.94
1574,2025-03-15,F 2025,Sales Invoice,SI103772,20000,C0014,BM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,3,42649.74,127949.22,74544.69,53404.53,41.74
1575,2024-12-29,F 2025,Sales Invoice,SI103773,10000,C0008,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,3,33533.74,100601.22,54735.15,45866.07,45.59
1576,2024-12-29,F 2025,Sales Invoice,SI103773,20000,C0008,CM,1936-S,ACCRA Round Table,TABLE,,3,115977.75,347933.25,199735.17,148198.08,42.59
1577,2025-01-09,F 2025,Sales Invoice,SI103774,10000,C0025,AO,1984-S,MADRID Monitor Stand,MISC,MBA,10,13470.26,134702.6,77462.2,57240.4,42.49
1578,2025-01-09,F 2025,Sales Invoice,SI103774,20000,C0025,AO,1952-S,"ABUJA Whiteboard, base",MISC,,9,52339.36,471054.24,339975.54,131078.7,27.83
1579,2025-02-26,F 2025,Sales Invoice,SI103775,10000,C0010,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,12,20520.42,246245.04,169765.8,76479.24,31.06
1580,2025-02-26,F 2025,Sales Invoice,SI103775,20000,C0010,AO,1976-S,LONDON Bookcase,MISC,KSM,8,55534.54,444276.32,287728.88,156547.44,35.24
